"to_date","count_new_cases"
2018-01-03,38
2018-01-06,5562
2018-01-07,9369
2018-01-08,8478
2018-01-09,2854
2018-01-10,13180
2018-01-11,5271
2018-01-12,7326
2018-01-13,4866
2018-01-14,19473
2018-01-15,2789
2018-01-16,12261
2018-01-17,1999
2018-01-24,3103
2018-01-25,11006
2018-01-26,14692
2018-01-28,3267
2018-01-29,25063
2018-01-30,30993
2018-01-31,8588
2018-02-01,13382
2018-02-02,3700
2018-02-03,4542
2018-02-05,9587
2018-02-06,9540
2018-02-07,6399
2018-02-08,133
2018-02-09,7848
2018-02-10,1867
2018-02-11,2945
2018-02-12,1216
2018-02-13,10840
2018-02-14,8895
2018-02-15,8283
2018-02-23,11492
2018-02-24,7565
2018-02-25,33772
2018-02-26,7989
2018-02-27,12187
2018-02-28,1284
2018-03-01,577
2018-03-02,1905
2018-03-03,334
2018-03-06,1534
2018-03-07,2211
2018-03-08,1661
2018-03-09,150
2018-03-12,1
2018-03-13,1671
2018-03-14,25898
2018-03-15,6615
2018-03-16,1
2018-03-17,4076
2018-03-18,5144
2018-03-19,2047
2018-03-20,2330
2018-03-21,143
2018-03-23,6038
2018-03-24,2381
2018-03-25,561
2018-03-26,4900
2018-03-27,5372
2018-03-28,345
2018-04-04,1223
2018-04-05,4973
2018-04-06,7
2018-04-09,7602
2018-04-10,19381
2018-04-11,11381
2018-04-12,2969
2018-04-13,800
2018-04-14,278
2018-04-15,4636
2018-04-16,8583
2018-04-17,12621
2018-04-18,12691
2018-04-19,1524
2018-04-20,790
2018-04-21,1967
2018-04-22,1812
2018-04-25,1
2018-04-26,5
2018-04-27,21
2018-04-28,5
2018-04-29,3
2018-04-30,3
2018-05-05,3106
2018-05-06,15249
2018-05-07,6347
2018-05-08,3105
2018-05-09,5319
2018-05-14,4188
2018-05-15,15532
2018-05-16,3156
2018-05-17,26420
2018-05-18,10391
2018-05-23,100
2018-05-24,6003
2018-05-25,20257
2018-05-26,31373
2018-05-27,9792
2018-05-28,7393
2018-05-29,9289
2018-05-30,967
2018-05-31,1682
2018-06-01,1624
2018-06-02,479
2018-06-03,2334
2018-06-04,3393
2018-06-05,2835
2018-06-06,18370
2018-06-07,53266
2018-06-08,14318
2018-06-09,5949
2018-06-10,7622
2018-06-12,10573
2018-06-14,1004
2018-06-15,2
2018-06-16,8
2018-06-19,4
2018-06-26,5858
2018-07-12,7872
2018-07-13,48063
2018-07-14,55272
2018-07-15,173
2018-07-16,1640
2018-07-17,8156
2018-07-18,516
2018-07-19,8989
2018-07-20,4231
2018-07-21,4044
2018-07-22,8344
2018-07-23,1107
2018-07-24,8
2018-07-25,4756
2018-07-26,13147
2018-07-27,8275
2018-07-28,14459
2018-07-29,7411
2018-07-30,5934
2018-07-31,4536
2018-08-01,5678
2018-08-02,8345
2018-08-03,7324
2018-08-04,4272
2018-08-05,60341
2018-08-06,7490
2018-08-07,2499
2018-08-08,18165
2018-08-09,10873
2018-08-10,15646
2018-08-11,1322
2018-08-12,9116
2018-08-13,4336
2018-08-14,16206
2018-08-15,3
2018-08-16,534
2018-08-17,653
2018-08-18,73
2018-08-19,3337
2018-08-20,21698
2018-08-21,14624
2018-08-22,3136
2018-08-23,757
2018-08-24,4501
2018-08-25,25
2018-08-26,12239
2018-08-27,18529
2018-08-28,4093
2018-08-29,2658
2018-08-30,12416
2018-08-31,11777
2018-09-01,5637
2018-09-02,36995
2018-09-03,36916
2018-09-04,52556
2018-09-05,7395
2018-09-06,5518
2018-09-07,7019
2018-09-08,22208
2018-09-09,62342
2018-09-10,7797
2018-09-11,43038
2018-09-12,16977
2018-09-13,431
2018-09-14,21999
2018-09-15,53910
2018-09-16,740
2018-09-17,5
2018-09-18,2
2018-09-20,456
2018-09-21,21
2018-09-22,3811
2018-09-23,10469
2018-09-24,13047
2018-09-25,9569
2018-09-26,8595
2018-09-27,68
2018-09-28,1547
2018-09-29,3728
2018-09-30,3103
2018-10-01,11
2018-10-02,6
2018-10-03,21393
2018-10-04,37474
2018-10-05,8924
2018-10-06,12
2018-10-09,14
2018-10-13,10984
2018-10-14,20074
2018-10-15,13388
2018-10-16,44893
2018-10-17,11776
2018-10-18,8461
2018-10-19,7259
2018-10-20,27916
2018-10-21,21757
2018-10-22,41512
2018-10-24,19109
2018-10-25,26905
2018-10-26,59
2018-10-27,4
2018-10-30,37
2018-10-31,14304
2018-11-01,18303
2018-11-02,26561
2018-11-03,8517
2018-11-04,6265
2018-11-05,10392
2018-11-06,42
2018-11-07,1853
2018-11-08,14595
2018-11-09,27223
2018-11-10,9567
2018-11-11,17886
2018-11-12,1
2018-11-13,3449
2018-11-14,207
2018-11-15,3196
2018-11-16,22519
2018-11-17,16131
2018-11-20,12
2018-11-21,4
2018-11-22,1
2018-11-24,8044
2018-11-25,9559
2018-11-26,898
2018-11-27,2188
2018-11-28,7874
2018-11-29,2704
2018-11-30,33331
2018-12-01,29079
2018-12-02,49914
2018-12-03,3749
2018-12-04,8325
2018-12-05,11487
2018-12-06,13187
2018-12-07,11655
2018-12-08,13201
2018-12-09,13321
2018-12-11,5514
2018-12-12,17393
2018-12-13,6508
2018-12-14,386
2018-12-15,8999
2018-12-16,13334
2018-12-17,19459
2018-12-18,20757
2018-12-19,4353
2018-12-20,93
2018-12-21,18
2018-12-22,1663
2018-12-23,53948
2018-12-24,38028
2018-12-25,64
2018-12-28,788
2018-12-29,3440
2019-01-03,5110
2019-01-05,9317
2019-01-06,5751
2019-01-07,115
2019-01-08,955
2019-01-09,2618
2019-01-10,1567
2019-01-11,323
2019-01-12,22441
2019-01-13,15723
2019-01-14,16089
2019-01-15,60217
2019-01-16,15458
2019-01-17,111
2019-01-18,125
2019-01-19,622
2019-01-22,133
2019-01-23,5609
2019-01-24,5171
2019-01-25,6182
2019-01-26,10171
2019-01-27,35197
2019-01-28,17344
2019-01-29,15753
2019-01-30,144
2019-01-31,239
2019-02-02,2
2019-02-03,9398
2019-02-04,4989
2019-02-05,43710
2019-02-06,17319
2019-02-07,461
2019-02-08,2733
2019-02-09,716
2019-02-10,48554
2019-02-11,115040
2019-02-12,14477
2019-03-04,2431
2019-03-05,45734
2019-03-06,3373
2019-03-07,812
2019-03-08,6032
2019-03-09,4427
2019-03-10,2463
2019-03-11,160
2019-03-12,3144
2019-03-13,9833
2019-03-14,9325
2019-03-15,5163
2019-03-18,19008
2019-03-19,25519
2019-03-20,10639
2019-03-21,53458
2019-03-22,20893
2019-03-23,80995
2019-03-24,25486
2019-03-25,20281
2019-03-27,10
2019-03-28,220
2019-03-29,6230
2019-03-30,22
2019-03-31,23706
2019-04-01,15347
2019-04-02,13590
2019-04-03,313
2019-04-04,33
2019-04-05,33
2019-04-06,38
2019-04-08,30955
2019-04-09,21134
2019-04-10,17228
2019-04-11,9115
2019-04-12,11323
2019-04-13,9198
2019-04-16,49771
2019-04-17,23892
2019-04-18,31500
2019-04-19,6003
2019-04-24,13881
2019-04-25,36262
2019-04-26,37191
2019-04-27,57261
2019-04-28,435
2019-04-30,272
2019-05-01,389
2019-05-04,1
2019-05-06,481
2019-05-08,219
2019-05-09,1
2019-05-10,3736
2019-05-11,3197
2019-05-12,6794
2019-05-13,224
2019-05-14,6930
2019-05-15,7672
2019-05-16,9639
2019-05-17,9903
2019-05-18,233
2019-05-22,125
2019-05-23,559
2019-05-24,25157
2019-05-25,14048
2019-05-26,1002
2019-05-29,394
2019-05-30,8654
2019-05-31,45114
2019-06-01,20319
2019-06-02,36439
2019-06-05,8466
2019-06-06,24106
2019-06-07,24329
2019-06-08,1944
