to_date,works
02/01/2016,83
04/01/2016,5767
05/01/2016,8948
06/01/2016,3468
07/01/2016,2961
08/01/2016,5948
09/01/2016,4799
10/01/2016,669
11/01/2016,6892
12/01/2016,8589
13/01/2016,6344
14/01/2016,5107
15/01/2016,4616
16/01/2016,3375
17/01/2016,1916
18/01/2016,3069
19/01/2016,9110
20/01/2016,10155
21/01/2016,16014
22/01/2016,7545
23/01/2016,5966
24/01/2016,565
25/01/2016,10342
26/01/2016,11236
27/01/2016,12529
28/01/2016,13164
29/01/2016,10487
30/01/2016,2610
31/01/2016,421
01/02/2016,3215
02/02/2016,7407
03/02/2016,15074
04/02/2016,6200
05/02/2016,11499
06/02/2016,6975
07/02/2016,593
08/02/2016,2182
09/02/2016,14586
10/02/2016,9775
11/02/2016,4945
12/02/2016,9706
13/02/2016,10618
14/02/2016,2849
15/02/2016,1704
16/02/2016,12261
17/02/2016,5169
18/02/2016,7266
19/02/2016,6166
20/02/2016,3479
21/02/2016,1022
22/02/2016,8744
23/02/2016,4504
24/02/2016,12913
25/02/2016,24805
26/02/2016,12635
27/02/2016,5624
28/02/2016,491
02/03/2016,25655
03/03/2016,11365
04/03/2016,20460
05/03/2016,8061
06/03/2016,377
07/03/2016,7878
08/03/2016,15183
09/03/2016,6665
10/03/2016,6883
11/03/2016,8517
12/03/2016,6356
13/03/2016,518
14/03/2016,3284
15/03/2016,6323
16/03/2016,9774
17/03/2016,32353
18/03/2016,11204
19/03/2016,4194
20/03/2016,615
21/03/2016,19522
22/03/2016,21799
23/03/2016,20507
24/03/2016,9669
25/03/2016,7101
26/03/2016,193
27/03/2016,105
28/03/2016,922
29/03/2016,3220
30/03/2016,11067
31/03/2016,7939
01/04/2016,13387
02/04/2016,5928
03/04/2016,249
04/04/2016,3731
05/04/2016,18347
06/04/2016,6877
07/04/2016,7622
08/04/2016,15753
09/04/2016,5510
10/04/2016,385
11/04/2016,9884
12/04/2016,3434
13/04/2016,6738
14/04/2016,11871
15/04/2016,8764
16/04/2016,1213
17/04/2016,588
18/04/2016,10959
19/04/2016,6291
20/04/2016,7745
21/04/2016,7131
22/04/2016,2892
25/04/2016,25395
26/04/2016,3824
27/04/2016,8313
28/04/2016,12571
29/04/2016,6956
30/04/2016,1499
01/05/2016,119
02/05/2016,1374
03/05/2016,16995
04/05/2016,27716
05/05/2016,7630
06/05/2016,3549
07/05/2016,3735
08/05/2016,582
09/05/2016,6337
10/05/2016,4347
11/05/2016,18952
12/05/2016,12051
13/05/2016,10784
14/05/2016,3729
15/05/2016,323
16/05/2016,7234
17/05/2016,7614
18/05/2016,8235
19/05/2016,21560
20/05/2016,18429
21/05/2016,1581
22/05/2016,263
23/05/2016,5611
24/05/2016,12076
25/05/2016,15798
26/05/2016,9284
27/05/2016,11578
28/05/2016,1412
29/05/2016,410
30/05/2016,867
31/05/2016,9046
01/06/2016,22031
02/06/2016,7497
03/06/2016,9060
04/06/2016,2956
05/06/2016,335
06/06/2016,1325
07/06/2016,5371
08/06/2016,5644
09/06/2016,10203
10/06/2016,15065
11/06/2016,2560
12/06/2016,1654
13/06/2016,3293
14/06/2016,3838
15/06/2016,5367
16/06/2016,12428
17/06/2016,3103
20/06/2016,21360
21/06/2016,8839
22/06/2016,12325
23/06/2016,3933
24/06/2016,13645
25/06/2016,3729
26/06/2016,427
27/06/2016,1591
28/06/2016,7970
29/06/2016,12069
30/06/2016,10360
01/07/2016,10292
02/07/2016,4730
03/07/2016,480
04/07/2016,31686
05/07/2016,9938
06/07/2016,21195
07/07/2016,8178
08/07/2016,9606
09/07/2016,3974
10/07/2016,3212
11/07/2016,20060
12/07/2016,3135
13/07/2016,4561
14/07/2016,14654
15/07/2016,7045
16/07/2016,5555
17/07/2016,258
18/07/2016,12046
19/07/2016,12635
20/07/2016,7050
21/07/2016,11157
22/07/2016,10859
23/07/2016,1317
24/07/2016,586
25/07/2016,9561
26/07/2016,3826
27/07/2016,21993
28/07/2016,9663
29/07/2016,8379
30/07/2016,2787
31/07/2016,604
01/08/2016,1668
02/08/2016,15872
03/08/2016,6089
04/08/2016,15656
05/08/2016,5009
06/08/2016,566
09/08/2016,28344
10/08/2016,8440
11/08/2016,6614
12/08/2016,16836
13/08/2016,3508
14/08/2016,373
15/08/2016,9311
16/08/2016,20787
17/08/2016,32834
18/08/2016,75613
19/08/2016,6853
20/08/2016,2380
21/08/2016,827
22/08/2016,3607
23/08/2016,34680
24/08/2016,10528
25/08/2016,27777
26/08/2016,34163
27/08/2016,4186
28/08/2016,527
29/08/2016,19841
30/08/2016,17634
31/08/2016,18226
01/09/2016,27571
02/09/2016,11102
03/09/2016,1948
